Name,Name of Module,Description of Module,Description of Type,Size,Activity dates,Duration
5214SMFA3Y/H/P2/01,5214SMFA3Y,Statistical Methods for the Physical Sciences,Hoorcollege,40,26/10/15,2/11/15,9/11/15,16/11/15,23/11/15,30/11/15,7/12/15,8
5214SMFA3Y/H/P2/02,5214SMFA3Y,Statistical Methods for the Physical Sciences,Hoorcollege,40,27/10/15,3/11/15,10/11/15,17/11/15,24/11/15,1/12/15,8/12/15,8
5214STES6Y/H/P4/01,5214STES6Y,Structure and Evolution of Stars,Hoorcollege,20,1/2/16,8/2/16,15/2/16,22/2/16,29/2/16,7/3/16,14/3/16,8
5214STES6Y/H/P4/02,5214STES6Y,Structure and Evolution of Stars,Hoorcollege,20,2/2/16,9/2/16,16/2/16,23/2/16,1/3/16,8/3/16,15/3/16,8
5214STES6Y/Tent/P4/01,5214STES6Y,Structure and Evolution of Stars,Tentamen,20,21/03/16,17
5214STES6Y/WC/P4/01,5214STES6Y,Structure and Evolution of Stars,Werkcollege,20,1/2/16,8/2/16,15/2/16,22/2/16,29/2/16,7/3/16,14/3/16,8
5214STES6Y/WC/P4/02,5214STES6Y,Structure and Evolution of Stars,Werkcollege,20,2/2/16,9/2/16,16/2/16,23/2/16,1/3/16,8/3/16,15/3/16,8
52548AET6Y/H/P6/01,52548AET6Y,Advanced Experimental Techniques,Hoorcollege,10,30/5/16,6/6/16,13/6/16,20/6/16,8
52548AET6Y/H/P6/02,52548AET6Y,Advanced Experimental Techniques,Hoorcollege,10,1/6/16,8/6/16,15/6/16,22/6/16,8
52548AET6Y/H/P6/03,52548AET6Y,Advanced Experimental Techniques,Hoorcollege,10,2/6/16,9/6/16,16/6/16,23/6/16,8
52548AET6Y/HerT/P7/01,52548AET6Y,Advanced Experimental Techniques,Hertentamen,2,26/08/16,17
52548AET6Y/Tent/P6/01,52548AET6Y,Advanced Experimental Techniques,Tentamen,10,24/06/16,17
5254CFSE6Y/H/P4/01,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,01/02/16,8
5254CFSE6Y/H/P4/02,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,04/02/16,8
5254CFSE6Y/H/P4/03,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,08/02/16,8
5254CFSE6Y/H/P4/04,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,11/02/16,8
5254CFSE6Y/H/P4/05,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,15/02/16,8
5254CFSE6Y/H/P4/06,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,18/02/16,8
5254CFSE6Y/H/P4/07,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,22/02/16,8
5254CFSE6Y/H/P4/08,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,25/02/16,8
5254CFSE6Y/H/P4/09,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,29/02/16,8
5254CFSE6Y/H/P4/10,5254CFSE6Y,Catalysis for Sustainable Energy,Hoorcollege,20,03/03/16,8
5254CFSE6Y/Pres/P4/01,5254CFSE6Y,Catalysis for Sustainable Energy,Presentatie,20,21/03/16,8
5254CFSE6Y/Proj/P4/01,5254CFSE6Y,Catalysis for Sustainable Energy,Project,20,24/03/16,8
5254CFSE6Y/ZS/P4/01,5254CFSE6Y,Catalysis for Sustainable Energy,Zelfstudie,20,07/03/16,8
5254CFSE6Y/ZS/P4/02,5254CFSE6Y,Catalysis for Sustainable Energy,Zelfstudie,20,10/03/16,8
5254CFSE6Y/ZS/P4/03,5254CFSE6Y,Catalysis for Sustainable Energy,Zelfstudie,20,14/03/16,8
5254CFSE6Y/ZS/P4/04,5254CFSE6Y,Catalysis for Sustainable Energy,Zelfstudie,20,17/03/16,8
5254COOC6Y/H/P2/01,5254COOC6Y,Coordination and Organometallic Chemistry,Hoorcollege,30,29/10/15,5/11/15,12/11/15,19/11/15,26/11/15,3/12/15,8
5254COOC6Y/H/P2/02,5254COOC6Y,Coordination and Organometallic Chemistry,Hoorcollege,30,26/10/15,2/11/15,9/11/15,16/11/15,23/11/15,30/11/15,7/12/15,8
5254COOC6Y/H/P2/02,5254COOC6Y,Coordination and Organometallic Chemistry,Hoorcollege,22,11/12/15,8
5254COOC6Y/HerT/P4/01,5254COOC6Y,Coordination and Organometallic Chemistry,Hertentamen,9,11/02/16,13
5254COOC6Y/Tent/P2/01,5254COOC6Y,Coordination and Organometallic Chemistry,Tentamen,42,14/12/15,13
5254ENCH6Y/CP/P1/01,5254ENCH6Y,Environmental Chemistry,Computer practicum,30,24/09/15,16
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,31/08/15,8
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,07/09/15,8
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,14/09/15,8
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,21/09/15,8
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,28/09/15,8
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,12/10/15,8
5254ENCH6Y/HerT/P2/01,5254ENCH6Y,Environmental Chemistry,Hertentamen,5,30/11/15,13
5254ENCH6Y/Tent/P1/01,5254ENCH6Y,Environmental Chemistry,Tentamen,30,22/10/15,13
5254ENCH6Y/Vrag/P1/01,5254ENCH6Y,Environmental Chemistry,Vragenuur,30,19/10/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,03/09/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,10/09/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,17/09/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,05/10/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,01/10/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,08/10/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,15/10/15,8
5254HECA6Y/H/P3/01,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,4/1/16,11/1/16,18/1/16,25/1/16,8
5254HECA6Y/H/P3/02,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,5/1/16,12/1/16,19/1/16,26/1/16,8
5254HECA6Y/H/P3/03,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,,8
5254HECA6Y/H/P3/03,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,06/01/16,8
5254HECA6Y/H/P3/03,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,13/01/16,8
5254HECA6Y/H/P3/03,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,20/01/16,8
5254HECA6Y/H/P3/03,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,27/01/16,8
5254HECA6Y/H/P3/04,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,,8
5254HECA6Y/H/P3/04,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,08/01/16,12
5254HECA6Y/H/P3/04,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,15/01/16,8
5254HECA6Y/H/P3/04,5254HECA6Y,Heterogeneous Catalysis,Hoorcollege,30,22/01/16,8
5254HECA6Y/HerT/P5/01,5254HECA6Y,Heterogeneous Catalysis,Hertentamen,6,04/04/16,9
5254HECA6Y/Pres/P3/01,5254HECA6Y,Heterogeneous Catalysis,Presentatie,30,27/01/16,16
5254HECA6Y/Tent/P3/01,5254HECA6Y,Heterogeneous Catalysis,Tentamen,30,28/01/16,9
5254HECA6Y/Vrag/P3/01,5254HECA6Y,Heterogeneous Catalysis,Vragenuur,30,26/01/16,4
5254HECA6Y/ZS/P3/01,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,4/1/16,11/1/16,18/1/16,25/1/16,8
5254HECA6Y/ZS/P3/02,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,05/01/16,8
5254HECA6Y/ZS/P3/02,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,12/01/16,8
5254HECA6Y/ZS/P3/02,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,19/01/16,8
5254HECA6Y/ZS/P3/03,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,6/1/16,13/1/16,20/1/16,8
5254HECA6Y/ZS/P3/04,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,,8
5254HECA6Y/ZS/P3/04,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,08/01/16,4
5254HECA6Y/ZS/P3/04,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,15/01/16,8
5254HECA6Y/ZS/P3/04,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,22/01/16,8
5254HECA6Y/ZS/P3/05,5254HECA6Y,Heterogeneous Catalysis,Zelfstudie,30,26/01/16,4
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,04/04/16,8
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,11/04/16,8
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,18/04/16,8
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,25/04/16,8
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,02/05/16,8
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,09/05/16,8
5254HOCA6Y/H/P5/01,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,23/05/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,31/03/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,07/04/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,14/04/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,21/04/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,28/04/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,12/05/16,8
5254HOCA6Y/H/P5/02,5254HOCA6Y,Homogeneous Catalysis,Hoorcollege,50,19/05/16,8
5254HOCA6Y/HerT/P7/01,5254HOCA6Y,Homogeneous Catalysis,Hertentamen,18,11/07/16,13
